producing

root@kafk00perf10-vio-bk:/opt/kafka/bin# kafka-producer-perf-test --topic example --producer.config /opt/kafka/config/client-ssl1.properties --num-records 1000000 --throughput -1 --record-size 10000
3136 records sent, 627.2 records/sec (5.98 MB/sec), 3897.9 ms avg latency, 11408.0 ms max latency.
3073 records sent, 614.5 records/sec (5.86 MB/sec), 3143.5 ms avg latency, 7461.0 ms max latency.
3328 records sent, 665.5 records/sec (6.35 MB/sec), 3151.1 ms avg latency, 7522.0 ms max latency.
2001 records sent, 400.0 records/sec (3.82 MB/sec), 3690.4 ms avg latency, 8565.0 ms max latency.
2615 records sent, 523.0 records/sec (4.99 MB/sec), 4581.0 ms avg latency, 9814.0 ms max latency.
1351 records sent, 270.2 records/sec (2.58 MB/sec), 4998.3 ms avg latency, 12538.0 ms max latency.
1018 records sent, 203.6 records/sec (1.94 MB/sec), 6190.2 ms avg latency, 12650.0 ms max latency.
1548 records sent, 309.6 records/sec (2.95 MB/sec), 8321.6 ms avg latency, 15090.0 ms max latency.
3332 records sent, 666.1 records/sec (6.35 MB/sec), 5044.7 ms avg latency, 15370.0 ms max latency.
958 records sent, 191.5 records/sec (1.83 MB/sec), 6299.5 ms avg latency, 8390.0 ms max latency.
2683 records sent, 536.4 records/sec (5.12 MB/sec), 5471.6 ms avg latency, 8956.0 ms max latency.
2170 records sent, 434.0 records/sec (4.14 MB/sec), 4395.0 ms avg latency, 7320.0 ms max latency.
2571 records sent, 514.1 records/sec (4.90 MB/sec), 4097.1 ms avg latency, 7288.0 ms max latency.
3917 records sent, 783.4 records/sec (7.47 MB/sec), 3099.0 ms avg latency, 5782.0 ms max latency.
3673 records sent, 734.6 records/sec (7.01 MB/sec), 2694.7 ms avg latency, 4359.0 ms max latency.
1116 records sent, 223.2 records/sec (2.13 MB/sec), 4644.7 ms avg latency, 7720.0 ms max latency.
1758 records sent, 351.6 records/sec (3.35 MB/sec), 5938.1 ms avg latency, 11431.0 ms max latency.
2318 records sent, 463.4 records/sec (4.42 MB/sec), 4920.6 ms avg latency, 11670.0 ms max latency.
1313 records sent, 262.6 records/sec (2.50 MB/sec), 5284.8 ms avg latency, 12000.0 ms max latency.
2312 records sent, 462.4 records/sec (4.41 MB/sec), 4944.8 ms avg latency, 13801.0 ms max latency.
3054 records sent, 610.8 records/sec (5.83 MB/sec), 4661.4 ms avg latency, 13678.0 ms max latency.
2650 records sent, 513.9 records/sec (4.90 MB/sec), 3138.2 ms avg latency, 8022.0 ms max latency.
1253 records sent, 250.5 records/sec (2.39 MB/sec), 4036.5 ms avg latency, 11561.0 ms max latency.
1223 records sent, 244.6 records/sec (2.33 MB/sec), 4942.7 ms avg latency, 15419.0 ms max latency.
2552 records sent, 510.4 records/sec (4.87 MB/sec), 5965.8 ms avg latency, 17138.0 ms max latency.
3440 records sent, 687.9 records/sec (6.56 MB/sec), 4608.0 ms avg latency, 17116.0 ms max latency.
